                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.86466,                0.52811,                 1.0008,                0.92537,                0.87764,                0.91985,                0.61004,                 1.0432,                0.53002,                0.99111,             0.00089141,             0.00089141,             0.00089141
                    117,                0.86261,                0.52524,                 1.0098,                0.90724,                0.88003,                0.91405,                0.61327,                  1.051,                0.53089,                0.99283,             0.00088669,             0.00088669,             0.00088669
                    118,                0.85618,                0.50658,                0.99643,                0.92163,                0.87928,                0.91987,                0.60265,                  1.061,                0.54087,                 1.0014,             0.00088198,             0.00088198,             0.00088198
                    119,                0.85677,                0.51018,                0.99486,                0.91851,                0.87989,                0.92039,                0.60956,                  1.062,                0.53627,                0.99055,             0.00087726,             0.00087726,             0.00087726
                    120,                0.85245,                 0.5187,                0.99695,                0.91208,                0.87579,                0.90989,                0.61217,                 1.0388,                0.53043,                0.98596,             0.00087255,             0.00087255,             0.00087255
                    121,                0.83262,                0.50722,                0.99248,                0.89707,                0.86105,                0.90415,                0.60795,                  1.047,                 0.5291,                 0.9867,             0.00086783,             0.00086783,             0.00086783
                    122,                0.87598,                0.52222,                 1.0031,                0.92615,                0.84926,                0.90266,                0.60208,                 1.0596,                 0.5574,                0.98997,             0.00086312,             0.00086312,             0.00086312
                    123,                0.85412,                0.51263,                0.99987,                0.90342,                0.85558,                0.90185,                0.60229,                 1.0606,                0.54112,                0.99011,              0.0008584,              0.0008584,              0.0008584
                    124,                0.83946,                0.50638,                0.99684,                0.91139,                0.87791,                0.92062,                0.61426,                 1.0666,                0.54333,                 1.0001,             0.00085368,             0.00085368,             0.00085368
                    125,                0.86154,                0.51298,                0.99536,                0.90637,                0.89844,                0.91803,                0.60829,                 1.0696,                0.52994,                      1,             0.00084897,             0.00084897,             0.00084897
                    126,                0.84325,                0.50527,                0.98718,                0.93102,                0.85945,                0.91143,                0.61594,                 1.0452,                0.52137,                0.98595,             0.00084425,             0.00084425,             0.00084425
                    127,                0.85706,                0.50482,                 1.0019,                0.92127,                0.89153,                0.92595,                0.61725,                  1.051,                0.51569,                0.98953,             0.00083954,             0.00083954,             0.00083954
                    128,                0.84841,                 0.5077,                 0.9978,                0.91514,                0.87965,                0.92359,                0.61949,                 1.0443,                 0.5181,                0.98576,             0.00083482,             0.00083482,             0.00083482
                    129,                0.83351,                0.49667,                 0.9927,                0.92698,                 0.8788,                0.92591,                0.62338,                 1.0384,                0.52168,                 0.9819,             0.00083011,             0.00083011,             0.00083011
                    130,                 0.8368,                0.50124,                0.98714,                0.91681,                0.89017,                0.92364,                0.61968,                 1.0555,                 0.5137,                0.99181,             0.00082539,             0.00082539,             0.00082539
                    131,                0.83675,                  0.507,                0.98792,                0.91097,                0.87381,                0.91774,                0.60904,                 1.0599,                0.52483,                0.99628,             0.00082067,             0.00082067,             0.00082067
                    132,                0.82689,                 0.4964,                 0.9822,                 0.9097,                0.88548,                0.91077,                0.61172,                 1.0397,                0.52796,                0.99333,             0.00081596,             0.00081596,             0.00081596
                    133,                0.83884,                0.50096,                0.98426,                0.91279,                0.89997,                0.92263,                0.61965,                 1.0482,                0.53343,                0.99219,             0.00081124,             0.00081124,             0.00081124
                    134,                 0.8327,                0.49785,                0.98651,                0.92797,                0.88305,                0.92168,                0.61311,                 1.0451,                0.52135,                0.99149,             0.00080653,             0.00080653,             0.00080653
                    135,                0.83699,                0.49729,                0.99347,                0.90749,                0.89821,                0.91794,                0.60803,                  1.049,                0.52605,                0.98924,             0.00080181,             0.00080181,             0.00080181
                    136,                0.84004,                0.49669,                0.98454,                0.92108,                0.90095,                0.92185,                0.62124,                 1.0475,                0.52191,                0.99244,              0.0007971,              0.0007971,              0.0007971
                    137,                0.83201,                0.49453,                0.98312,                0.93102,                0.88755,                0.92731,                0.62438,                 1.0385,                0.52053,                0.98347,             0.00079238,             0.00079238,             0.00079238
                    138,                0.84579,                0.50167,                0.99171,                0.91848,                0.88309,                0.92487,                0.61994,                 1.0395,                0.51638,                0.98393,             0.00078766,             0.00078766,             0.00078766
